Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,CylindersinEngine,DriveType,FuelType,FuelConsumption,Kilometres,Location,States,BodyType,Price
Nissan,2006,Tiida,Sedan,2006 Nissan Tiida ST-L,USED,Automatic,1.8,4,Front,Unleaded,7.8,203316,"Hamilton Hill, WA", WA,Sedan,6990
Subaru,2020,Forester,SUV,2020 Subaru Forester 2.5I (awd),USED,Automatic,2.5,4,AWD,Unleaded,7.4,56487,"Victoria Park, WA", WA,SUV,33999
Toyota,2003,Land,Magic Auto Wholesale,"2003 Toyota Land Cruiser UZJ100R Sahara Wagon 8st 5dr Auto 5sp, 4x4 4.7i",USED,Automatic,,,Other,-,,396827,"Victoria Park, WA", WA,Wagon,19990
Hyundai,2009,I30,Hatchback,2009 Hyundai I30 SR,USED,Automatic,2,4,Front,Unleaded,7.6,96670,"Victoria Park, WA", WA,Hatchback,9985
Mitsubishi,2013,Pajero,SUV,2013 Mitsubishi Pajero VR-X LWB (4X4),USED,Automatic,3.2,4,4WD,Diesel,9,355475,"Victoria Park, WA", WA,SUV,13985
LDV,2021,D90,SUV,2021 LDV D90 Executive (4WD) D20,USED,Automatic,2,4,4WD,Diesel,9.1,51988,"Morley, WA", WA,SUV,33950
Nissan,2011,Navara,Ute / Tray,2011 Nissan Navara ST (4X4),USED,Manual,2.5,4,4WD,Diesel,9.8,155782,"Victoria Park, WA", WA,UTE,12985
Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla Ascent Sport,USED,Automatic,2,4,Front,Unleaded,6,34458,"Bentley, WA", WA,Hatchback,29388
Ford,2012,Ranger,Ute / Tray,2012 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Manual,2.2,4,Rear,Diesel,7.6,172612,"Osborne Park, WA", WA,UTE,18990
MG,2022,HS,SUV,2022 MG HS Core,USED,Automatic,1.5,4,Front,Unleaded,7.3,29197,"Rockingham, WA", WA,SUV,26999
Land Rover,2018,Sport,SUV,2018 Land Rover Range Rover Sport TDV6 SE,USED,Automatic,3,6,AWD,Diesel,6.9,100708,"Osborne Park, WA", WA,SUV,84990
Holden,2004,Rodeo,3MT True Value Auto,2004 Holden Rodeo 2004 HOLDEN RODEO LX RA MANUAL 4X4,USED,Manual,,,Other,-,,332466,"Victoria Park, WA", WA,UTE,7980
Hyundai,2019,Tucson,SUV,2019 Hyundai Tucson Active (2WD),USED,Automatic,2,4,Front,Unleaded,7.9,61211,"Victoria Park, WA", WA,SUV,30490
Holden,2011,Commodore,Sedan,2011 Holden Commodore SS-V,USED,Automatic,6,8,Rear,Premium,14.6,143935,"Bentley, WA", WA,Sedan,34998
Isuzu,2017,MU-X,SUV,2017 Isuzu MU-X LS-T (4X4),USED,Automatic,3,4,4WD,Diesel,7.9,46480,"Bentley, WA", WA,SUV,51984
Nissan,2000,Patrol,SUV,2000 Nissan Patrol ST (4X4),USED,Manual,3,4,4WD,Diesel,0,370553,"Victoria Park, WA", WA,SUV,15990
Subaru,2020,Forester,SUV,2020 Subaru Forester 2.5I (awd),USED,Automatic,2.5,4,AWD,Unleaded,7.4,57341,"Melville, WA", WA,SUV,34990
