Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,States,CylindersinEngine,BodyType,Doors,Seats,Price
Nissan,2021.0,2021 Nissan Navara SL (4X4),Ute / Tray,2021 Nissan Navara SL (4X4),USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7.9 L / 100 km,93473,White / -,"Seymour, VIC",VIC,4 cyl,UTE, 4 Doors, 5 Seats,42990
Kia,2015.0,2015 Kia Sorento SI (4X4),SUV,2015 Kia Sorento SI (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8 L / 100 km,114620,White / Black Cloth,"Burwood, VIC",VIC,4 cyl,SUV, 4 Doors, 7 Seats,25890
Porsche,2007.0,2007 Porsche 911 GT3,Coupe,2007 Porsche 911 GT3,USED,Manual,"6 cyl, 3.6 L",Rear,Premium,19.8 L / 100 km,17648,White / -,"Fyshwick, ACT",ACT,6 cyl,Coupe, 2 Doors, 2 Seats,309911
Ford,2017.0,2017 Ford Ranger Wildtrak 3.2 (4X4),Ute / Tray,2017 Ford Ranger Wildtrak 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9 L / 100 km,88001,Silver / -,"Mayfield West, NSW",NSW,5 cyl,UTE, 4 Doors, 5 Seats,43490
Toyota,2015.0,2015 Toyota Hilux SR HI-Rider,Ute / Tray,2015 Toyota Hilux SR HI-Rider,USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,8.1 L / 100 km,148828,White / Black,"Dandenong, VIC",VIC,4 cyl,UTE, 4 Doors, 5 Seats,30500
Nissan,2015.0,2015 Nissan X-Trail ST (fwd),SUV,2015 Nissan X-Trail ST (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,158419,White / -,"Vermont, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,19990
Toyota,2021.0,2021 Toyota Landcruiser Prado GXL Flat Tailgate,SUV,2021 Toyota Landcruiser Prado GXL Flat Tailgate,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,7.9 L / 100 km,26441,White / Grey,"Traralgon, VIC",VIC,4 cyl,SUV, 4 Doors, 7 Seats,73999
Holden,2011.0,2011 Holden Caprice,Sedan,2011 Holden Caprice,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,10.3 L / 100 km,196353,Grey / -,"Warners Bay, NSW",NSW,6 cyl,Sedan, 4 Doors, 5 Seats,15990
Mercedes-Benz,2015.0,2015 Mercedes-Benz GLC250,SUV,2015 Mercedes-Benz GLC250,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.2 L / 100 km,73615,Silver / -,"Mulgrave, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,49800
Toyota,2022.0,2022 Toyota Landcruiser Prado VX,SUV,2022 Toyota Landcruiser Prado VX,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,7.9 L / 100 km,13578,Silver / Black,"Moruya, NSW",NSW,4 cyl,SUV, 4 Doors, 7 Seats,92990
Ford,2016.0,2016 Ford Ranger Wildtrak 3.2 (4X4),Ute / Tray,2016 Ford Ranger Wildtrak 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9 L / 100 km,187296,Silver / -,"South Nowra, NSW",NSW,5 cyl,UTE, 4 Doors, 5 Seats,37888
Hyundai,2019.0,2019 Hyundai I30 Active,Hatchback,2019 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,60195,Blue / -,"Tweed Heads South, NSW",NSW,4 cyl,Hatchback, 4 Doors, 5 Seats,19990
Hyundai,2016.0,2016 Hyundai Santa FE Highlander Crdi (4X4),SUV,2016 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8 L / 100 km,178893,Black / -,"Traralgon, VIC",VIC,4 cyl,SUV, 4 Doors, 7 Seats,25999
